Articoli
Descrizione                             	Prezzo con IVA
toma di lanzo                           	18,00
primo sale pepato                       	18,00
pecorino romano                         	27,00
caciotta caprina                        	22,00
quaglie                                 	18,00
quaglie                                 	18,00
ricotta pugliese                        	11,00
pecorino fiorito                        	19,80
CACIORICOTTA                            	25,00
gorgonzola                              	17,00
pecorino fiore sardo                    	24,00
tartar                                  	26,00
cervella                                	20,00
bombette                                	18,00
hamburger carciofi                      	14,00
pollo al curry                          	18,00
insalata di pollo                       	20,00
arrosticini misti                       	24,00
bollito d´estate                        	22,00
tritata di pollo                        	16,00
hamburger di coniglio                   	21,00
bruschette                              	4,90
prova                                   	0,01
siciliani                               	18,00
salame ferrarese all´aglio              	28,00
cotechino ferrarese                     	20,00
salsiccia ferrarese                     	20,00
cotechino carne buona                   	20,00
salame ferrarese s/aglio                	28,00
zia ferrarese                           	28,00
pancetta arrotolata ferrarese           	25,50
pesto fresco                            	22,00
rete maiale                             	6,00
maialino da latte                       	21,00
salamina da sugo                        	27,00
cotechino                               	18,00
sottofiletto di bue                     	28,00
spezzatino di bue                       	22,00
cappone di monasterolo                  	20,00
cappelletti ferraresi                   	40,00
panpapati ferraresi                     	20,00
zampone                                 	20,00
tartufina                               	35,00
pollo ripieno                           	20,00
rolata pollo campese                    	20,00
tritata scelta                          	16,00
pancetta arrotolata                     	20,00
provolone auricchio                     	22,00
prosciutto cotto scelto                 	18,00
girello cotto                           	32,00
tomino longo                            	3,50
fior di bosco                           	17,00
robiola di roccaverano                  	24,00
salame crespone                         	20,00
fontina fontal                          	17,00
fontina aosta                           	21,00
gorgonzola mascarpone                   	25,00
brie francese                           	17,00
insalata capricciosa                    	22,00
insalata russa                          	22,00
insalata russa con tonno                	24,00
antipasto piemontese                    	22,00
giuncata                                	19,50
torta al limone                         	15,00
burrata                                 	4,50
burrata affumicata                      	4,90
burrata al tartufo                      	4,90
trullo occhiato                         	38,00
stracciatella                           	6,90
pancetta steccata                       	26,00
gnocchi di patata                       	4,50
agnolotti del plin                      	4,60
tortellini                              	4,50
agnolotti di carne                      	4,50
mozzarella treccia                      	4,00
hamburger radicchio/gorgonzola          	16,00
hamburger provolone                     	16,00
peperoni in bagna verde                 	22,00
peperoni in bagna caoda                 	6,00
bagnetto verde                          	22,00
mozzarella                              	4,00
mozzarella di bufala                    	4,50
zizzona di battipaglia                  	22,00
crescenza di capra                      	4,50
coppa di testa                          	18,00
ciccioli                                	20,00
lasagna                                 	18,50
rolata di vitella                       	20,00
manzo affumicato                        	38,00
luganica dolce                          	28,00
luganica piccante                       	28,00
robiolina capra                         	2,90
rolata di tacchhnella                   	24,00
mozzarella fior di latte                	20,00
wurstel di fassona                      	6,00
porchetta                               	22,00
agnellino sardo                         	24,00
robiola fresca                          	23,00
stinco di maiale                        	10,00
tagllate aromatizzate                   	21,00
carpione                                	27,00
osso del nonno                          	4,00
ravioli borragine                       	4,60
trippa cotta                            	24,00
hamburger cipolla e parmigiano          	16,00
grigliata mista                         	10,00
salsiccia sarda                         	32,00
pecorino sardo 24m                      	32,50
pecorino sardo 9m                       	28,50
caprino 12m                             	29,50
caciocavallo sardo                      	26,00
lonzino sardo                           	36,00
DOLCI                                   	4,00
tiramisu'                               	5,00
cosce di faraone                        	13,00
biscotto burro                          	4,00
biscotto cioccolato                     	4,50
tritata bue                             	18,00
tritata magra                           	26,00
muscolo bue                             	24,00
bollito con osso bue                    	16,00
tenerone bue                            	24,00
arrosto vena bue                        	26,00
rotonda bue                             	28,00
gorgonzola tartufo                      	36,00
pollo ripieno                           	24,00
anatra ripiena                          	32,00
tacchinella ripiena                     	29,00
coniglio ripieno                        	30,00
faraona ripiena                         	27,00
cappone disossato                       	30,00
lonza di maiale con mele                	16,00
filetto                                 	48,00
tomini conditi                          	6,50
rolata di bue                           	24,00
costata di bue                          	26,00
tacchinella di monasterolo              	14,00
